# two_theta(deg)    Intensidade
4.755805    74.000000
4.925805    71.000000
5.105805    72.000000
5.275805    68.000000
5.455805    85.000000
5.625805    61.000000
5.805805    67.000000
5.975805    68.000000
6.155805    78.000000
6.325805    72.000000
6.505805    72.000000
6.675805    95.000000
6.855805    96.000000
7.035805    87.000000
7.205805    92.000000
7.385805    88.000000
7.555805    94.000000
7.735805    105.000000
7.905805    100.000000
8.085805    114.000000
8.255805    93.000000
8.435805    125.000000
8.605805    113.000000
8.785805    136.000000
8.965805    129.000000
9.135805    146.000000
9.315805    167.000000
9.485805    168.000000
9.665805    177.000000
9.835805    208.000000
10.015805    212.000000
10.185805    223.000000
10.365805    219.000000
10.535805    252.000000
10.715805    274.000000
10.895805    271.000000
11.065805    290.000000
11.245805    303.000000
11.415805    285.000000
11.595805    307.000000
11.765805    297.000000
11.945805    286.000000
12.115805    307.000000
12.295805    271.000000
12.465805    280.000000
12.645805    321.000000
12.825805    291.000000
12.995805    258.000000
13.175805    301.000000
13.345805    288.000000
13.525805    400.000000
13.695805    567.000000
13.875805    785.000000
14.045805    955.000000
14.225805    989.000000
14.395805    1011.000000
14.575805    1023.000000
14.745805    961.000000
14.925805    973.000000
15.105805    1008.000000
15.275805    966.000000
15.455805    948.000000
15.625805    937.000000
15.805805    977.000000
15.975805    935.000000
16.155805    877.000000
16.325805    856.000000
16.505805    787.000000
16.675805    811.000000
16.855805    790.000000
17.035805    827.000000
17.205805    825.000000
17.385805    899.000000
17.555805    1022.000000
17.735805    1542.000000
17.905805    1874.000000
18.085805    1592.000000
18.255805    1182.000000
18.435805    882.000000
18.605805    789.000000
18.785805    770.000000
18.965805    740.000000
19.135805    672.000000
19.315805    728.000000
19.485805    690.000000
19.665805    678.000000
19.835805    1219.000000
20.015805    2627.000000
20.185805    4343.000000
20.365805    4419.000000
20.535805    2223.000000
20.715805    909.000000
20.895805    522.000000
21.065805    512.000000
21.245805    494.000000
21.415805    433.000000
21.595805    475.000000
21.765805    434.000000
21.945805    431.000000
22.115805    388.000000
22.295805    389.000000
22.465805    423.000000
22.645805    348.000000
22.825805    318.000000
22.995805    344.000000
23.175805    372.000000
23.345805    332.000000
23.525805    313.000000
23.695805    314.000000
23.875805    336.000000
24.045805    327.000000
24.225805    276.000000
24.395805    293.000000
24.575805    283.000000
24.745805    289.000000
24.925805    267.000000
25.105805    316.000000
25.275805    279.000000
25.455805    253.000000
25.625805    282.000000
25.805805    235.000000
25.975805    276.000000
26.155805    250.000000
26.325805    238.000000
26.505805    234.000000
26.675805    230.000000
26.855805    238.000000
27.035805    246.000000
27.205805    202.000000
27.385805    225.000000
27.555805    235.000000
27.735805    230.000000
27.905805    277.000000
28.085805    264.000000
28.255805    264.000000
28.435805    294.000000
28.605805    281.000000
28.785805    262.000000
28.965805    261.000000
29.135805    257.000000
29.315805    280.000000
29.485805    258.000000
29.665805    305.000000
