# two_theta(deg)    Intensidade
4.935805    55.000000
5.105805    55.000000
5.285805    53.000000
5.455805    62.000000
5.635805    74.000000
5.805805    73.000000
5.985805    54.000000
6.155805    54.000000
6.335805    70.000000
6.505805    85.000000
6.685805    70.000000
6.855805    61.000000
7.035805    75.000000
7.215805    84.000000
7.385805    74.000000
7.565805    74.000000
7.735805    91.000000
7.915805    80.000000
8.085805    88.000000
8.265805    85.000000
8.435805    83.000000
8.615805    84.000000
8.785805    108.000000
8.965805    86.000000
9.145805    99.000000
9.315805    104.000000
9.495805    128.000000
9.665805    131.000000
9.845805    108.000000
10.015805    134.000000
10.195805    177.000000
10.365805    169.000000
10.545805    173.000000
10.715805    164.000000
10.895805    184.000000
11.075805    174.000000
11.245805    184.000000
11.425805    158.000000
11.595805    212.000000
11.775805    182.000000
11.945805    193.000000
12.125805    193.000000
12.295805    188.000000
12.475805    299.000000
12.645805    432.000000
12.825805    550.000000
13.005805    720.000000
13.175805    794.000000
13.355805    801.000000
13.525805    746.000000
13.705805    756.000000
13.875805    782.000000
14.055805    737.000000
14.225805    669.000000
14.405805    745.000000
14.575805    727.000000
14.755805    704.000000
14.925805    756.000000
15.105805    753.000000
15.285805    661.000000
15.455805    643.000000
15.635805    639.000000
15.805805    663.000000
15.985805    607.000000
16.155805    632.000000
16.335805    563.000000
16.505805    586.000000
16.685805    576.000000
16.855805    536.000000
17.035805    500.000000
17.215805    499.000000
17.385805    471.000000
17.565805    551.000000
17.735805    662.000000
17.915805    878.000000
18.085805    998.000000
18.265805    873.000000
18.435805    620.000000
18.615805    496.000000
18.785805    461.000000
18.965805    412.000000
19.145805    451.000000
19.315805    420.000000
19.495805    418.000000
19.665805    438.000000
19.845805    378.000000
20.015805    599.000000
20.195805    1176.000000
20.365805    1673.000000
20.545805    1654.000000
20.715805    927.000000
20.895805    469.000000
21.075805    322.000000
21.245805    334.000000
21.425805    286.000000
21.595805    290.000000
21.775805    254.000000
21.945805    231.000000
22.125805    259.000000
22.295805    253.000000
22.475805    246.000000
22.645805    226.000000
22.825805    218.000000
23.005805    211.000000
23.175805    215.000000
23.355805    216.000000
23.525805    258.000000
23.705805    208.000000
23.875805    195.000000
24.055805    206.000000
24.225805    187.000000
24.405805    195.000000
24.575805    216.000000
24.755805    200.000000
24.925805    195.000000
25.105805    207.000000
25.285805    196.000000
25.455805    214.000000
25.635805    226.000000
25.805805    244.000000
25.985805    247.000000
26.155805    231.000000
26.335805    222.000000
26.505805    252.000000
26.685805    223.000000
26.855805    224.000000
27.035805    223.000000
27.215805    220.000000
27.385805    216.000000
27.565805    224.000000
27.735805    207.000000
27.915805    201.000000
28.085805    201.000000
28.265805    198.000000
28.435805    245.000000
28.615805    207.000000
28.785805    214.000000
28.965805    181.000000
29.145805    218.000000
29.315805    164.000000
29.495805    191.000000
29.665805    196.000000
29.845805    207.000000
