# two_theta(deg)    Intensidade
3.875805    250.000000
4.045805    248.000000
4.225805    257.000000
4.395805    249.000000
4.575805    237.000000
4.745805    240.000000
4.925805    222.000000
5.095805    253.000000
5.275805    252.000000
5.445805    242.000000
5.625805    264.000000
5.795805    267.000000
5.975805    280.000000
6.155805    292.000000
6.325805    319.000000
6.505805    277.000000
6.675805    264.000000
6.855805    279.000000
7.025805    292.000000
7.205805    292.000000
7.375805    297.000000
7.555805    298.000000
7.725805    295.000000
7.905805    302.000000
8.085805    327.000000
8.255805    341.000000
8.435805    341.000000
8.605805    363.000000
8.785805    388.000000
8.955805    384.000000
9.135805    427.000000
9.305805    460.000000
9.485805    504.000000
9.655805    490.000000
9.835805    496.000000
10.015805    550.000000
10.185805    617.000000
10.365805    642.000000
10.535805    658.000000
10.715805    695.000000
10.885805    726.000000
11.065805    730.000000
11.235805    787.000000
11.415805    757.000000
11.585805    798.000000
11.765805    867.000000
11.945805    918.000000
12.115805    946.000000
12.295805    951.000000
12.465805    924.000000
12.645805    935.000000
12.815805    950.000000
12.995805    886.000000
13.165805    903.000000
13.345805    945.000000
13.515805    893.000000
13.695805    910.000000
13.865805    839.000000
14.045805    880.000000
14.225805    832.000000
14.395805    793.000000
14.575805    858.000000
14.745805    873.000000
14.925805    808.000000
15.095805    841.000000
15.275805    792.000000
15.445805    801.000000
15.625805    762.000000
15.795805    797.000000
15.975805    797.000000
16.155805    786.000000
16.325805    727.000000
16.505805    721.000000
16.675805    735.000000
16.855805    715.000000
17.025805    684.000000
17.205805    697.000000
17.375805    693.000000
17.555805    743.000000
17.725805    887.000000
17.905805    1104.000000
18.085805    1104.000000
18.255805    917.000000
18.435805    723.000000
18.605805    598.000000
18.785805    681.000000
18.955805    638.000000
19.135805    620.000000
19.305805    603.000000
19.485805    656.000000
19.655805    644.000000
19.835805    724.000000
20.015805    1019.000000
20.185805    1534.000000
20.365805    1945.000000
20.535805    1310.000000
20.715805    674.000000
20.885805    541.000000
21.065805    527.000000
21.235805    514.000000
21.415805    493.000000
21.585805    512.000000
21.765805    492.000000
21.945805    535.000000
22.115805    475.000000
22.295805    477.000000
22.465805    497.000000
22.645805    451.000000
22.815805    499.000000
22.995805    406.000000
23.165805    453.000000
23.345805    427.000000
23.515805    438.000000
23.695805    434.000000
23.865805    430.000000
24.045805    400.000000
24.225805    438.000000
24.395805    370.000000
24.575805    369.000000
24.745805    389.000000
24.925805    433.000000
25.095805    411.000000
25.275805    389.000000
25.445805    419.000000
25.625805    429.000000
25.795805    420.000000
25.975805    409.000000
26.155805    377.000000
26.325805    430.000000
26.505805    448.000000
26.675805    442.000000
26.855805    420.000000
27.025805    421.000000
27.205805    439.000000
27.375805    403.000000
27.555805    417.000000
27.725805    394.000000
27.905805    408.000000
28.085805    373.000000
28.255805    417.000000
28.435805    354.000000
28.605805    386.000000
28.785805    374.000000
