# two_theta(deg)    Intensidade
4.935805    48.000000
5.105805    37.000000
5.285805    44.000000
5.455805    38.000000
5.635805    54.000000
5.805805    33.000000
5.985805    50.000000
6.155805    34.000000
6.335805    42.000000
6.505805    48.000000
6.685805    52.000000
6.855805    53.000000
7.035805    52.000000
7.215805    50.000000
7.385805    40.000000
7.565805    39.000000
7.735805    40.000000
7.915805    55.000000
8.085805    50.000000
8.265805    46.000000
8.435805    49.000000
8.615805    44.000000
8.785805    57.000000
8.965805    54.000000
9.145805    56.000000
9.315805    70.000000
9.495805    73.000000
9.665805    80.000000
9.845805    83.000000
10.015805    92.000000
10.195805    99.000000
10.365805    123.000000
10.545805    115.000000
10.715805    100.000000
10.895805    117.000000
11.075805    134.000000
11.245805    114.000000
11.425805    115.000000
11.595805    113.000000
11.775805    110.000000
11.945805    106.000000
12.125805    104.000000
12.295805    110.000000
12.475805    102.000000
12.645805    95.000000
12.825805    100.000000
13.005805    64.000000
13.175805    92.000000
13.355805    93.000000
13.525805    87.000000
13.705805    101.000000
13.875805    80.000000
14.055805    83.000000
14.225805    79.000000
14.405805    99.000000
14.575805    74.000000
14.755805    82.000000
14.925805    79.000000
15.105805    88.000000
15.285805    74.000000
15.455805    102.000000
15.635805    91.000000
15.805805    88.000000
15.985805    88.000000
16.155805    91.000000
16.335805    95.000000
16.505805    109.000000
16.685805    113.000000
16.855805    115.000000
17.035805    108.000000
17.215805    120.000000
17.385805    150.000000
17.565805    265.000000
17.735805    492.000000
17.915805    811.000000
18.085805    1150.000000
18.265805    1068.000000
18.435805    723.000000
18.615805    487.000000
18.785805    457.000000
18.965805    408.000000
19.145805    422.000000
19.315805    393.000000
19.495805    387.000000
19.665805    371.000000
19.845805    456.000000
20.015805    660.000000
20.195805    1433.000000
20.365805    1974.000000
20.545805    1915.000000
20.715805    1091.000000
20.895805    448.000000
21.075805    262.000000
21.245805    240.000000
21.425805    215.000000
21.595805    206.000000
21.775805    210.000000
21.945805    193.000000
22.125805    180.000000
22.295805    181.000000
22.475805    165.000000
22.645805    169.000000
22.825805    163.000000
23.005805    136.000000
23.175805    144.000000
23.355805    123.000000
23.525805    128.000000
23.705805    118.000000
23.875805    109.000000
24.055805    112.000000
24.225805    111.000000
24.405805    103.000000
24.575805    101.000000
24.755805    97.000000
24.925805    101.000000
25.105805    68.000000
25.285805    88.000000
25.455805    88.000000
25.635805    77.000000
25.805805    74.000000
25.985805    76.000000
26.155805    84.000000
26.335805    83.000000
26.505805    71.000000
26.685805    69.000000
26.855805    56.000000
27.035805    60.000000
27.215805    59.000000
27.385805    70.000000
27.565805    60.000000
27.735805    61.000000
27.915805    63.000000
28.085805    72.000000
28.265805    73.000000
28.435805    77.000000
28.615805    68.000000
28.785805    58.000000
28.965805    65.000000
29.145805    73.000000
29.315805    72.000000
29.495805    79.000000
29.665805    52.000000
29.845805    63.000000
