# two_theta(deg)    Intensidade
4.935805    92.000000
5.105805    71.000000
5.285805    74.000000
5.455805    85.000000
5.635805    88.000000
5.805805    79.000000
5.985805    90.000000
6.155805    86.000000
6.335805    83.000000
6.505805    70.000000
6.685805    84.000000
6.855805    80.000000
7.035805    101.000000
7.215805    85.000000
7.385805    101.000000
7.565805    82.000000
7.735805    86.000000
7.915805    88.000000
8.085805    102.000000
8.265805    90.000000
8.435805    86.000000
8.615805    93.000000
8.785805    107.000000
8.965805    109.000000
9.145805    134.000000
9.315805    128.000000
9.495805    154.000000
9.665805    175.000000
9.845805    178.000000
10.015805    180.000000
10.195805    213.000000
10.365805    221.000000
10.545805    236.000000
10.715805    239.000000
10.895805    256.000000
11.075805    268.000000
11.245805    249.000000
11.425805    218.000000
11.595805    264.000000
11.775805    251.000000
11.945805    246.000000
12.125805    260.000000
12.295805    253.000000
12.475805    244.000000
12.645805    241.000000
12.825805    233.000000
13.005805    245.000000
13.175805    228.000000
13.355805    188.000000
13.525805    193.000000
13.705805    203.000000
13.875805    231.000000
14.055805    193.000000
14.225805    192.000000
14.405805    197.000000
14.575805    162.000000
14.755805    163.000000
14.925805    181.000000
15.105805    176.000000
15.285805    182.000000
15.455805    186.000000
15.635805    185.000000
15.805805    179.000000
15.985805    185.000000
16.155805    154.000000
16.335805    157.000000
16.505805    159.000000
16.685805    174.000000
16.855805    175.000000
17.035805    194.000000
17.215805    165.000000
17.385805    156.000000
17.565805    167.000000
17.735805    193.000000
17.915805    218.000000
18.085805    185.000000
18.265805    249.000000
18.435805    264.000000
18.615805    394.000000
18.785805    612.000000
18.965805    685.000000
19.145805    710.000000
19.315805    711.000000
19.495805    680.000000
19.665805    743.000000
19.845805    816.000000
20.015805    1162.000000
20.195805    2990.000000
20.365805    5567.000000
20.545805    4835.000000
20.715805    2318.000000
20.895805    925.000000
21.075805    523.000000
21.245805    508.000000
21.425805    432.000000
21.595805    451.000000
21.775805    383.000000
21.945805    404.000000
22.125805    375.000000
22.295805    364.000000
22.475805    362.000000
22.645805    309.000000
22.825805    305.000000
23.005805    322.000000
23.175805    323.000000
23.355805    324.000000
23.525805    260.000000
23.705805    266.000000
23.875805    254.000000
24.055805    278.000000
24.225805    211.000000
24.405805    249.000000
24.575805    228.000000
24.755805    221.000000
24.925805    215.000000
25.105805    211.000000
25.285805    160.000000
25.455805    241.000000
25.635805    175.000000
25.805805    189.000000
25.985805    147.000000
26.155805    173.000000
26.335805    143.000000
26.505805    152.000000
26.685805    140.000000
26.855805    146.000000
27.035805    164.000000
27.215805    139.000000
27.385805    153.000000
27.565805    142.000000
27.735805    136.000000
27.915805    128.000000
28.085805    124.000000
28.265805    109.000000
28.435805    114.000000
28.615805    128.000000
28.785805    119.000000
28.965805    110.000000
29.145805    113.000000
29.315805    105.000000
29.495805    103.000000
29.665805    104.000000
29.845805    111.000000
