# two_theta(deg)    Intensidade
4.755805    184.000000
4.925805    167.000000
5.105805    178.000000
5.275805    195.000000
5.455805    190.000000
5.625805    174.000000
5.805805    177.000000
5.975805    233.000000
6.155805    188.000000
6.325805    229.000000
6.505805    207.000000
6.675805    239.000000
6.855805    252.000000
7.035805    224.000000
7.205805    271.000000
7.385805    275.000000
7.555805    270.000000
7.735805    269.000000
7.905805    270.000000
8.085805    298.000000
8.255805    279.000000
8.435805    272.000000
8.605805    290.000000
8.785805    329.000000
8.965805    331.000000
9.135805    344.000000
9.315805    375.000000
9.485805    434.000000
9.665805    429.000000
9.835805    525.000000
10.015805    513.000000
10.185805    626.000000
10.365805    678.000000
10.535805    728.000000
10.715805    788.000000
10.895805    826.000000
11.065805    903.000000
11.245805    929.000000
11.415805    1060.000000
11.595805    1071.000000
11.765805    1201.000000
11.945805    1286.000000
12.115805    1350.000000
12.295805    1291.000000
12.465805    1368.000000
12.645805    1360.000000
12.825805    1402.000000
12.995805    1508.000000
13.175805    1444.000000
13.345805    1512.000000
13.525805    1498.000000
13.695805    1640.000000
13.875805    1545.000000
14.045805    1654.000000
14.225805    1623.000000
14.395805    1768.000000
14.575805    1754.000000
14.745805    1780.000000
14.925805    1800.000000
15.105805    1738.000000
15.275805    1802.000000
15.455805    1807.000000
15.625805    1942.000000
15.805805    1712.000000
15.975805    1776.000000
16.155805    1702.000000
16.325805    1752.000000
16.505805    1629.000000
16.675805    1742.000000
16.855805    1722.000000
17.035805    1708.000000
17.205805    1770.000000
17.385805    1784.000000
17.555805    2095.000000
17.735805    2896.000000
17.905805    4746.000000
18.085805    5510.000000
18.255805    4665.000000
18.435805    2559.000000
18.605805    2003.000000
18.785805    1921.000000
18.965805    1933.000000
19.135805    2042.000000
19.315805    2022.000000
19.485805    1942.000000
19.665805    2180.000000
19.835805    2511.000000
20.015805    6587.000000
20.185805    11969.000000
20.365805    13342.000000
20.535805    12973.000000
20.715805    8260.000000
20.895805    2401.000000
21.065805    1692.000000
21.245805    1555.000000
21.415805    1520.000000
21.595805    1443.000000
21.765805    1491.000000
21.945805    1514.000000
22.115805    1497.000000
22.295805    1379.000000
22.465805    1362.000000
22.645805    1315.000000
22.825805    1319.000000
22.995805    1385.000000
23.175805    1240.000000
23.345805    1230.000000
23.525805    1219.000000
23.695805    1144.000000
23.875805    1134.000000
24.045805    1161.000000
24.225805    1055.000000
24.395805    1136.000000
24.575805    1031.000000
24.745805    1081.000000
24.925805    1056.000000
25.105805    1027.000000
25.275805    1037.000000
25.455805    996.000000
25.625805    988.000000
25.805805    896.000000
25.975805    917.000000
26.155805    876.000000
26.325805    839.000000
26.505805    785.000000
26.675805    792.000000
26.855805    801.000000
27.035805    711.000000
27.205805    695.000000
27.385805    757.000000
27.555805    742.000000
27.735805    695.000000
27.905805    699.000000
28.085805    654.000000
28.255805    695.000000
28.435805    702.000000
28.605805    664.000000
28.785805    643.000000
28.965805    632.000000
29.135805    634.000000
29.315805    548.000000
29.485805    589.000000
29.665805    632.000000
