# two_theta(deg)    Intensidade
4.935805    103.000000
5.105805    100.000000
5.285805    114.000000
5.455805    111.000000
5.635805    91.000000
5.805805    104.000000
5.985805    118.000000
6.155805    116.000000
6.335805    115.000000
6.505805    118.000000
6.685805    114.000000
6.855805    124.000000
7.035805    127.000000
7.215805    125.000000
7.385805    133.000000
7.565805    135.000000
7.735805    130.000000
7.915805    150.000000
8.085805    163.000000
8.265805    140.000000
8.435805    156.000000
8.615805    172.000000
8.785805    171.000000
8.965805    190.000000
9.145805    183.000000
9.315805    217.000000
9.495805    252.000000
9.665805    243.000000
9.845805    274.000000
10.015805    292.000000
10.195805    343.000000
10.365805    321.000000
10.545805    356.000000
10.715805    386.000000
10.895805    406.000000
11.075805    427.000000
11.245805    411.000000
11.425805    457.000000
11.595805    427.000000
11.775805    485.000000
11.945805    624.000000
12.125805    783.000000
12.295805    913.000000
12.475805    1077.000000
12.645805    1114.000000
12.825805    1145.000000
13.005805    1090.000000
13.175805    1111.000000
13.355805    1174.000000
13.525805    1080.000000
13.705805    1163.000000
13.875805    1093.000000
14.055805    1210.000000
14.225805    1220.000000
14.405805    1176.000000
14.575805    1173.000000
14.755805    1153.000000
14.925805    1142.000000
15.105805    1181.000000
15.285805    1140.000000
15.455805    1121.000000
15.635805    1165.000000
15.805805    1137.000000
15.985805    1135.000000
16.155805    1066.000000
16.335805    1058.000000
16.505805    974.000000
16.685805    1047.000000
16.855805    998.000000
17.035805    945.000000
17.215805    984.000000
17.385805    1010.000000
17.565805    1098.000000
17.735805    1292.000000
17.915805    1991.000000
18.085805    2272.000000
18.265805    2035.000000
18.435805    1417.000000
18.615805    1087.000000
18.785805    952.000000
18.965805    989.000000
19.145805    1008.000000
19.315805    931.000000
19.495805    977.000000
19.665805    894.000000
19.845805    1038.000000
20.015805    1613.000000
20.195805    3926.000000
20.365805    6038.000000
20.545805    5091.000000
20.715805    2502.000000
20.895805    1134.000000
21.075805    729.000000
21.245805    635.000000
21.425805    617.000000
21.595805    603.000000
21.775805    538.000000
21.945805    562.000000
22.125805    557.000000
22.295805    514.000000
22.475805    520.000000
22.645805    491.000000
22.825805    515.000000
23.005805    453.000000
23.175805    465.000000
23.355805    485.000000
23.525805    437.000000
23.705805    432.000000
23.875805    450.000000
24.055805    427.000000
24.225805    432.000000
24.405805    414.000000
24.575805    424.000000
24.755805    411.000000
24.925805    421.000000
25.105805    419.000000
25.285805    432.000000
25.455805    413.000000
25.635805    403.000000
25.805805    432.000000
25.985805    382.000000
26.155805    372.000000
26.335805    364.000000
26.505805    374.000000
26.685805    389.000000
26.855805    348.000000
27.035805    344.000000
27.215805    362.000000
27.385805    359.000000
27.565805    333.000000
27.735805    329.000000
27.915805    388.000000
28.085805    339.000000
28.265805    345.000000
28.435805    340.000000
28.615805    369.000000
28.785805    357.000000
28.965805    342.000000
29.145805    346.000000
29.315805    356.000000
29.495805    316.000000
29.665805    342.000000
29.845805    277.000000
