# two_theta(deg)    Intensidade
3.875805    363.000000
4.045805    393.000000
4.225805    365.000000
4.395805    418.000000
4.575805    460.000000
4.745805    359.000000
4.925805    379.000000
5.095805    398.000000
5.275805    379.000000
5.445805    338.000000
5.625805    386.000000
5.795805    411.000000
5.975805    407.000000
6.155805    426.000000
6.325805    414.000000
6.505805    398.000000
6.675805    439.000000
6.855805    437.000000
7.025805    437.000000
7.205805    466.000000
7.375805    482.000000
7.555805    460.000000
7.725805    444.000000
7.905805    475.000000
8.085805    470.000000
8.255805    498.000000
8.435805    504.000000
8.605805    488.000000
8.785805    528.000000
8.955805    539.000000
9.135805    558.000000
9.305805    605.000000
9.485805    600.000000
9.655805    627.000000
9.835805    639.000000
10.015805    703.000000
10.185805    744.000000
10.365805    765.000000
10.535805    861.000000
10.715805    862.000000
10.885805    936.000000
11.065805    973.000000
11.235805    1050.000000
11.415805    967.000000
11.585805    1043.000000
11.765805    1051.000000
11.945805    1102.000000
12.115805    1116.000000
12.295805    1133.000000
12.465805    1097.000000
12.645805    1204.000000
12.815805    1122.000000
12.995805    1059.000000
13.165805    1075.000000
13.345805    1098.000000
13.515805    1078.000000
13.695805    1085.000000
13.865805    1050.000000
14.045805    1047.000000
14.225805    1044.000000
14.395805    1083.000000
14.575805    1044.000000
14.745805    1044.000000
14.925805    1072.000000
15.095805    1093.000000
15.275805    1036.000000
15.445805    1079.000000
15.625805    1046.000000
15.795805    1041.000000
15.975805    1040.000000
16.155805    993.000000
16.325805    944.000000
16.505805    964.000000
16.675805    923.000000
16.855805    913.000000
17.025805    910.000000
17.205805    918.000000
17.375805    935.000000
17.555805    980.000000
17.725805    1044.000000
17.905805    1240.000000
18.085805    1293.000000
18.255805    1121.000000
18.435805    938.000000
18.605805    883.000000
18.785805    958.000000
18.955805    873.000000
19.135805    896.000000
19.305805    891.000000
19.485805    960.000000
19.655805    877.000000
19.835805    901.000000
20.015805    1083.000000
20.185805    1397.000000
20.365805    1612.000000
20.535805    1214.000000
20.715805    847.000000
20.885805    780.000000
21.065805    750.000000
21.235805    808.000000
21.415805    791.000000
21.585805    730.000000
21.765805    865.000000
21.945805    976.000000
22.115805    1170.000000
22.295805    1172.000000
22.465805    1241.000000
22.645805    1222.000000
22.815805    1169.000000
22.995805    1065.000000
23.165805    1088.000000
23.345805    1098.000000
23.515805    1059.000000
23.695805    1062.000000
23.865805    1047.000000
24.045805    1017.000000
24.225805    1005.000000
24.395805    973.000000
24.575805    911.000000
24.745805    949.000000
24.925805    886.000000
25.095805    872.000000
25.275805    873.000000
25.445805    863.000000
25.625805    862.000000
25.795805    791.000000
25.975805    841.000000
26.155805    786.000000
26.325805    744.000000
26.505805    745.000000
26.675805    720.000000
26.855805    720.000000
27.025805    671.000000
27.205805    660.000000
27.375805    677.000000
27.555805    631.000000
27.725805    703.000000
27.905805    620.000000
28.085805    624.000000
28.255805    612.000000
28.435805    623.000000
28.605805    572.000000
28.785805    624.000000
