# two_theta(deg)    Intensidade
4.055805    109.000000
4.225805    124.000000
4.405805    113.000000
4.575805    150.000000
4.755805    124.000000
4.925805    120.000000
5.105805    132.000000
5.275805    132.000000
5.455805    125.000000
5.625805    120.000000
5.805805    125.000000
5.975805    135.000000
6.155805    137.000000
6.335805    143.000000
6.505805    140.000000
6.685805    161.000000
6.855805    169.000000
7.035805    170.000000
7.205805    153.000000
7.385805    159.000000
7.555805    157.000000
7.735805    158.000000
7.905805    184.000000
8.085805    163.000000
8.265805    152.000000
8.435805    168.000000
8.615805    184.000000
8.785805    173.000000
8.965805    194.000000
9.135805    206.000000
9.315805    226.000000
9.485805    214.000000
9.665805    243.000000
9.835805    233.000000
10.015805    277.000000
10.195805    302.000000
10.365805    327.000000
10.545805    312.000000
10.715805    345.000000
10.895805    391.000000
11.065805    364.000000
11.245805    399.000000
11.415805    401.000000
11.595805    395.000000
11.765805    394.000000
11.945805    411.000000
12.125805    471.000000
12.295805    415.000000
12.475805    448.000000
12.645805    462.000000
12.825805    396.000000
12.995805    445.000000
13.175805    432.000000
13.345805    401.000000
13.525805    429.000000
13.695805    385.000000
13.875805    408.000000
14.045805    404.000000
14.225805    385.000000
14.405805    418.000000
14.575805    395.000000
14.755805    416.000000
14.925805    452.000000
15.105805    424.000000
15.275805    392.000000
15.455805    405.000000
15.625805    354.000000
15.805805    397.000000
15.975805    380.000000
16.155805    345.000000
16.335805    396.000000
16.505805    375.000000
16.685805    330.000000
16.855805    380.000000
17.035805    359.000000
17.205805    380.000000
17.385805    405.000000
17.555805    408.000000
17.735805    396.000000
17.905805    423.000000
18.085805    477.000000
18.265805    426.000000
18.435805    438.000000
18.615805    397.000000
18.785805    375.000000
18.965805    425.000000
19.135805    403.000000
19.315805    488.000000
19.485805    532.000000
19.665805    662.000000
19.835805    1009.000000
20.015805    1657.000000
20.195805    3894.000000
20.365805    5808.000000
20.545805    2899.000000
20.715805    926.000000
20.895805    605.000000
21.065805    604.000000
21.245805    623.000000
21.415805    574.000000
21.595805    598.000000
21.765805    563.000000
21.945805    595.000000
22.125805    562.000000
22.295805    526.000000
22.475805    519.000000
22.645805    476.000000
22.825805    498.000000
22.995805    452.000000
23.175805    427.000000
23.345805    501.000000
23.525805    450.000000
23.695805    422.000000
23.875805    408.000000
24.045805    421.000000
24.225805    416.000000
24.405805    386.000000
24.575805    384.000000
24.755805    363.000000
24.925805    372.000000
25.105805    363.000000
25.275805    392.000000
25.455805    359.000000
25.625805    311.000000
25.805805    338.000000
25.975805    339.000000
26.155805    319.000000
26.335805    299.000000
26.505805    282.000000
26.685805    267.000000
26.855805    270.000000
27.035805    285.000000
27.205805    255.000000
27.385805    264.000000
27.555805    257.000000
27.735805    277.000000
27.905805    293.000000
28.085805    230.000000
28.265805    211.000000
28.435805    275.000000
28.615805    216.000000
28.785805    250.000000
28.965805    235.000000
